market,name,date,heat_distance_bucket,latitude,longitude,allocated_visitor_count,n_pois_in_bucket,n_candidates_in_group,confidence
Dallas,AutoZone,2024-07-12,2-3km,32.60530777381819,-96.78105987309402,410.0,1,1,split_estimate
Dallas,AutoZone,2024-07-13,2-3km,32.60530777381819,-96.78105987309402,288.0,1,1,split_estimate
Dallas,AutoZone,2024-07-16,2-3km,32.60530777381819,-96.78105987309402,526.0,1,1,split_estimate
Dallas,AutoZone,2024-07-20,2-3km,32.60530777381819,-96.78105987309402,667.0,1,1,split_estimate
Dallas,AutoZone,2024-07-25,2-3km,32.60530777381819,-96.78105987309402,230.0,1,1,split_estimate
Dallas,AutoZone,2024-08-13,2-3km,32.60530777381819,-96.78105987309402,625.0,1,1,split_estimate
Dallas,AutoZone,2024-08-19,2-3km,32.60530777381819,-96.78105987309402,410.0,1,1,split_estimate
Dallas,AutoZone,2024-09-02,2-3km,32.60530777381819,-96.78105987309402,303.0,1,1,split_estimate
Dallas,AutoZone,2024-09-27,2-3km,32.60530777381819,-96.78105987309402,651.0,1,1,split_estimate
Dallas,AutoZone,2024-10-03,2-3km,32.60530777381819,-96.78105987309402,444.0,1,1,split_estimate
Dallas,AutoZone,2024-10-31,2-3km,32.60530777381819,-96.78105987309402,513.0,1,1,split_estimate
Dallas,AutoZone,2024-11-21,2-3km,32.60530777381819,-96.78105987309402,761.0,1,1,split_estimate
Dallas,AutoZone,2024-11-23,2-3km,32.60530777381819,-96.78105987309402,380.0,1,1,split_estimate
Dallas,AutoZone,2024-12-16,2-3km,32.60530777381819,-96.78105987309402,292.0,1,1,split_estimate
Dallas,AutoZone,2024-12-31,2-3km,32.60530777381819,-96.78105987309402,621.0,1,1,split_estimate
Dallas,Bakers Ribs,2022-02-06,1-2km,32.79502740319498,-96.6113825597014,416.0,1,1,certain
Dallas,Bakers Ribs,2022-07-14,1-2km,32.79502740319498,-96.6113825597014,257.0,1,1,certain
Dallas,Bakers Ribs,2024-07-18,1-2km,32.79502740319498,-96.6113825597014,252.0,1,1,certain
Dallas,Baskin-Robbins,2020-01-24,1-2km,32.70634990171638,-96.85802821611784,183.0,1,1,certain
Dallas,Baskin-Robbins,2020-02-18,1-2km,32.70634990171638,-96.85802821611784,142.0,1,1,certain
Dallas,Baskin-Robbins,2020-05-13,1-2km,32.70634990171638,-96.85802821611784,33.0,1,1,certain
Dallas,Baskin-Robbins,2020-06-13,1-2km,32.70634990171638,-96.85802821611784,195.0,1,1,certain
Dallas,Baskin-Robbins,2020-11-15,1-2km,32.70634990171638,-96.85802821611784,145.0,1,1,certain
Dallas,Baskin-Robbins,2021-02-19,1-2km,32.70634990171638,-96.85802821611784,70.0,1,1,certain
Dallas,Baskin-Robbins,2021-05-08,1-2km,32.70634990171638,-96.85802821611784,235.0,1,1,certain
Dallas,Baskin-Robbins,2022-05-14,1-2km,32.70634990171638,-96.85802821611784,472.0,1,1,certain
Dallas,Baskin-Robbins,2022-08-03,1-2km,32.70634990171638,-96.85802821611784,443.0,1,1,certain
Dallas,Baskin-Robbins,2022-09-23,1-2km,32.70634990171638,-96.85802821611784,294.0,1,1,certain
Dallas,Baskin-Robbins,2022-11-06,1-2km,32.70634990171638,-96.85802821611784,451.0,1,1,certain
