time_fk,state_fk,market_fk,daily_visitors,n_stores_reporting,is_hot_season
2020-08-03,CA,Los Angeles / SF Bay Area,8221.0,14,True
2020-08-04,CA,Los Angeles / SF Bay Area,6282.0,12,True
2020-08-05,CA,Los Angeles / SF Bay Area,9152.0,10,True
2020-08-06,CA,Los Angeles / SF Bay Area,4849.0,14,True
2020-08-07,CA,Los Angeles / SF Bay Area,4122.0,8,True
2020-08-08,CA,Los Angeles / SF Bay Area,5817.0,13,True
2020-08-09,CA,Los Angeles / SF Bay Area,2722.0,10,True
2020-08-10,CA,Los Angeles / SF Bay Area,1711.0,10,True
2020-08-11,CA,Los Angeles / SF Bay Area,4005.0,12,True
2020-08-12,CA,Los Angeles / SF Bay Area,1208.0,5,True
2020-08-13,CA,Los Angeles / SF Bay Area,2431.0,10,True
2020-08-14,CA,Los Angeles / SF Bay Area,3261.0,10,True
2020-08-15,CA,Los Angeles / SF Bay Area,1224.0,6,True
2020-08-16,CA,Los Angeles / SF Bay Area,6202.0,11,True
2020-08-17,CA,Los Angeles / SF Bay Area,3388.0,13,True
2020-08-18,CA,Los Angeles / SF Bay Area,3210.0,16,True
2020-08-19,CA,Los Angeles / SF Bay Area,5826.0,14,True
2020-08-20,CA,Los Angeles / SF Bay Area,3319.0,10,True
2020-08-21,CA,Los Angeles / SF Bay Area,4775.0,9,True
2020-08-22,CA,Los Angeles / SF Bay Area,11231.0,14,True
2020-08-23,CA,Los Angeles / SF Bay Area,3272.0,15,True
2020-08-24,CA,Los Angeles / SF Bay Area,7502.0,12,True
2020-08-25,CA,Los Angeles / SF Bay Area,9278.0,13,True
2020-08-26,CA,Los Angeles / SF Bay Area,2956.0,14,True
2020-08-27,CA,Los Angeles / SF Bay Area,11350.0,12,True
2020-08-28,CA,Los Angeles / SF Bay Area,8807.0,8,True
2020-08-29,CA,Los Angeles / SF Bay Area,3776.0,10,True
2020-08-30,CA,Los Angeles / SF Bay Area,2001.0,8,True
2020-08-31,CA,Los Angeles / SF Bay Area,8036.0,18,True
