state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-05-28,1384.7631358003393,3549.57258048637,8555.457523770336
TX,Dallas / Houston,2024-05-29,6273.621402764798,8348.630252934681,14785.845446673733
TX,Dallas / Houston,2024-05-30,10606.144344164495,13180.629649532611,16550.97584462084
TX,Dallas / Houston,2024-05-31,10161.181466770673,11360.297283970085,15884.99176429072
TX,Dallas / Houston,2024-06-01,7055.592282409629,10011.003333970328,14548.510212365782
TX,Dallas / Houston,2024-06-02,5425.773578797224,7822.338911230339,11193.577480228918
TX,Dallas / Houston,2024-06-03,5443.1691681830325,8159.546954078185,11021.6340526434
TX,Dallas / Houston,2024-06-04,5816.680382165929,8219.21937631589,11407.12031130585
TX,Dallas / Houston,2024-06-05,4000.485377110798,7389.240906930308,11745.368463547462
TX,Dallas / Houston,2024-06-06,3390.98245789584,5575.979147554918,10721.52890802595
TX,Dallas / Houston,2024-06-07,7134.429567117941,10867.721433198429,14466.111521877481
TX,Dallas / Houston,2024-06-08,6152.632805241713,8078.331475126882,13919.135013181003
TX,Dallas / Houston,2024-06-09,6521.372956978338,8161.719215469991,14199.792956372648
TX,Dallas / Houston,2024-06-10,891.8297018636551,3718.2824644547586,8603.217312713
TX,Dallas / Houston,2024-06-11,5306.738951548873,8480.82333748936,11918.319239130677
TX,Dallas / Houston,2024-06-12,3025.925235752881,6446.410398570447,9912.370988910869
TX,Dallas / Houston,2024-06-13,2541.025728450627,5399.274231883964,9463.926734654098
TX,Dallas / Houston,2024-06-14,4356.685051746494,6544.972580910011,11330.622173553373
TX,Dallas / Houston,2024-06-15,7679.635171894466,11101.288693712251,15280.080783161036
TX,Dallas / Houston,2024-06-16,1990.5553365867554,4433.716190269015,7335.790093990628
TX,Dallas / Houston,2024-06-17,2471.8766051470725,4918.07285493305,8344.050331240382
TX,Dallas / Houston,2024-06-18,2948.730685421848,5578.044449052358,8232.774976316203
TX,Dallas / Houston,2024-06-19,4915.648930204482,7473.3857054827395,11311.357919799788
TX,Dallas / Houston,2024-06-20,2705.0976941903346,5254.921476014139,8519.701515144896
TX,Dallas / Houston,2024-06-21,4526.3742495287515,7761.922169762959,10963.92197988021
TX,Dallas / Houston,2024-06-22,2255.37276472757,5181.288770577838,8216.941471151235
TX,Dallas / Houston,2024-06-23,4247.109868382716,8294.745543892948,10779.06820158348
TX,Dallas / Houston,2024-06-24,4587.593690932239,6930.191057562554,9772.16541986149
TX,Dallas / Houston,2024-06-25,3076.6351827401813,5259.930453763177,9525.824439240274
TX,Dallas / Houston,2024-06-26,3054.904365494537,6534.131025639445,10385.318784805353
TX,Dallas / Houston,2024-06-27,3092.4927094607538,6696.880235536442,10147.926790172574
TX,Dallas / Houston,2024-06-28,1851.2062653545395,4639.42524671273,8141.962803993952
TX,Dallas / Houston,2024-06-29,1178.2610960192656,3380.8542322481608,8384.338721211041
TX,Dallas / Houston,2024-06-30,1804.5223390042697,4089.579995836835,8680.787517423983
TX,Dallas / Houston,2024-07-01,4704.095636153937,6966.77464049018,10810.043853775405
TX,Dallas / Houston,2024-07-02,8272.611823328285,11363.944919098261,14787.819629057098
TX,Dallas / Houston,2024-07-03,7384.114341672751,10339.957484527615,13362.948953777663
TX,Dallas / Houston,2024-07-04,5797.2677941408865,8328.304657784196,11283.822487110208
TX,Dallas / Houston,2024-07-05,978.6776852530304,3469.5923844314507,7675.563973857808
