state_fk,market_fk,as_of_date,time_fk,forecast_daily_visitors,is_hot_season,forecast_method
MA,Boston,2024-12-31,2025-01-29,584.2328844009971,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-30,680.9362093437235,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-31,752.5798151007742,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-01,2742.886258552596,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-02,2442.7888719395537,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-03,2685.9177818001217,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-04,2949.122532324471,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-05,2301.895967403739,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-06,2112.870202204301,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-07,2501.548729130718,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-08,2742.886258552596,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-09,2442.7888719395537,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-10,2685.9177818001217,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-11,2949.122532324471,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-12,2301.895967403739,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-13,2112.870202204301,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-14,2501.548729130718,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-15,2742.886258552596,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-16,2442.7888719395537,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-17,2685.9177818001217,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-18,2949.122532324471,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-19,2301.895967403739,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-20,2112.870202204301,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-21,2501.548729130718,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-22,2742.886258552596,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-23,2442.7888719395537,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-24,2685.9177818001217,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-25,2949.122532324471,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-26,2301.895967403739,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-27,2112.870202204301,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-28,2501.548729130718,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-29,2742.886258552596,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-30,2442.7888719395537,False,trailing_7day_level_x_real_weekday_profile
MO,Kansas City,2024-12-31,2025-01-31,2685.9177818001217,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-01,2458.1259395486495,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-02,2154.1925014778444,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-03,2723.0187671410117,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-04,3301.7662909601736,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-05,2472.832295295256,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-06,2260.039758410499,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-07,2080.4044308389716,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-08,2458.1259395486495,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-09,2154.1925014778444,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-10,2723.0187671410117,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-11,3301.7662909601736,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-12,2472.832295295256,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-13,2260.039758410499,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-14,2080.4044308389716,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-15,2458.1259395486495,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-16,2154.1925014778444,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-17,2723.0187671410117,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-18,3301.7662909601736,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-19,2472.832295295256,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-20,2260.039758410499,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-21,2080.4044308389716,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-22,2458.1259395486495,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-23,2154.1925014778444,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-24,2723.0187671410117,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-25,3301.7662909601736,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-26,2472.832295295256,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-27,2260.039758410499,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-28,2080.4044308389716,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-29,2458.1259395486495,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-30,2154.1925014778444,False,trailing_7day_level_x_real_weekday_profile
NJ,New York/New Jersey,2024-12-31,2025-01-31,2723.0187671410117,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-01,2575.4039631227147,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-02,2312.059288924239,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-03,2891.6196380774345,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-04,2653.7807870914576,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-05,1929.0200767312485,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-06,2315.9898221972876,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-07,2306.177129895949,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-08,2575.4039631227147,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-09,2312.059288924239,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-10,2891.6196380774345,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-11,2653.7807870914576,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-12,1929.0200767312485,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-13,2315.9898221972876,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-14,2306.177129895949,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-15,2575.4039631227147,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-16,2312.059288924239,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-17,2891.6196380774345,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-18,2653.7807870914576,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-19,1929.0200767312485,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-20,2315.9898221972876,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-21,2306.177129895949,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-22,2575.4039631227147,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-23,2312.059288924239,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-24,2891.6196380774345,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-25,2653.7807870914576,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-26,1929.0200767312485,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-27,2315.9898221972876,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-28,2306.177129895949,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-29,2575.4039631227147,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-30,2312.059288924239,False,trailing_7day_level_x_real_weekday_profile
NY,New York/New Jersey,2024-12-31,2025-01-31,2891.6196380774345,False,trailing_7day_level_x_real_weekday_profile
PA,Philadelphia,2024-12-31,2025-01-01,1539.1995906041132,False,trailing_7day_level_x_real_weekday_profile
PA,Philadelphia,2024-12-31,2025-01-02,1510.9624108585779,False,trailing_7day_level_x_real_weekday_profile
