state_fk,market_fk,time_fk,foursquare_crowd_0_1km,foursquare_crowd_1_2km,foursquare_crowd_2_3km,foursquare_crowd_3_5km,foursquare_crowd_5km_plus,foursquare_crowd_total,foursquare_lat_0_1km,foursquare_lat_1_2km,foursquare_lat_2_3km,foursquare_lat_3_5km,foursquare_lat_5km_plus,foursquare_lon_0_1km,foursquare_lon_1_2km,foursquare_lon_2_3km,foursquare_lon_3_5km,foursquare_lon_5km_plus
TX,Dallas / Houston,2021-03-14,310.0,1503.0,1038.0,0.0,155.0,3006.0,31.21017003976599,32.17797065403618,30.13492726430045,,29.57849330631566,-96.22791635029576,-96.46098385241112,-95.51902665917548,,-95.40381472897492
TX,Dallas / Houston,2021-03-15,1472.5,1167.0,305.5,1723.0,0.0,4668.0,32.668624049118094,31.940269377983483,29.835038096366866,29.938236000000003,,-96.75010099785115,-96.47582175759098,-95.28525435202806,-95.384105,
TX,Dallas / Houston,2021-03-16,1482.1,338.8,2093.0,523.25,716.85,5154.0,30.27033370129908,31.859571399808306,32.605256662083185,29.90285406390539,29.577778806409945,-95.70074116197918,-96.40610750084565,-96.78893553016783,-95.33106466427998,-95.40255131293509
TX,Dallas / Houston,2021-03-17,2208.5190476190473,3782.9380952380952,328.95238095238096,328.95238095238096,889.6380952380952,7538.999999999999,31.660506324255525,30.789202836539925,30.271742918363078,29.671281435413196,29.5852367338017,-96.36695257618669,-95.85898249305609,-95.58700925968913,-95.37408366972733,-95.39369156806899
TX,Dallas / Houston,2021-03-18,360.33333333333337,5204.833333333333,269.83333333333337,0.0,0.0,5834.999999999999,31.289286307665463,29.707737917898896,29.88038457698238,,,-96.0730552915141,-95.30257782090207,-95.3053379066118,,
TX,Dallas / Houston,2021-03-19,716.0,0.0,716.0,0.0,0.0,1432.0,32.704629464818915,,32.60402323571779,,,-96.83053961865276,,-96.78506925203328,,
TX,Dallas / Houston,2021-03-20,2506.0,1390.0,128.0,0.0,0.0,4024.0,30.487655015576916,32.71028113532967,29.700132651970964,,,-95.82450439380852,-96.71206698022472,-95.2960702099269,,
TX,Dallas / Houston,2021-03-21,3600.0,2190.0,2699.0,352.0,0.0,8841.0,32.79268850267168,31.885547971105332,29.794223172698707,29.933499999999995,,-96.84206607009973,-96.29198225497774,-95.31157865322865,-95.37760000000002,
TX,Dallas / Houston,2021-03-22,107.66666666666667,107.66666666666667,1049.6666666666667,0.0,0.0,1265.0,29.947983040216304,29.863201178796324,29.78484864030013,,,-95.3325095912778,-95.45846582346056,-95.23744208367204,,
TX,Dallas / Houston,2021-03-23,3139.333333333333,2722.833333333333,1088.6666666666667,880.0,801.1666666666666,8632.0,30.796592246329688,30.924457273813736,32.743680256291285,32.76747824487442,29.58424989610858,-95.84962240181721,-95.93614397448749,-96.65130508358351,-96.62837754717668,-95.3909012866788
TX,Dallas / Houston,2021-03-24,4029.5,6285.0,1774.0,1774.0,711.5,14574.0,30.861650608837717,30.871167271026597,32.77712609201614,32.76747824487442,29.579927516469706,-95.91792754979143,-95.92441261104345,-96.61893154920664,-96.62837754717668,-95.39698043860177
TX,Dallas / Houston,2021-03-25,1191.6,926.8,0.0,0.0,529.6,2647.9999999999995,31.491612438929707,31.859571399808306,,,29.580976493647356,-96.24245729132173,-96.40610750084566,,,-95.39402713061827
TX,Dallas / Houston,2021-03-26,1796.0,1347.0,0.0,495.0,449.0,4087.0,31.322629799237017,31.713036592461002,,29.626839978434553,29.580022606557502,-96.157502380025,-96.29172255315117,,-95.38877352440421,-95.39784655158354
TX,Dallas / Houston,2021-03-27,1024.0,1024.0,1024.0,1024.0,0.0,4096.0,29.768506159969505,29.864180390736035,32.77712609201614,32.76747824487442,,-95.2479067351576,-95.47981300431564,-96.61893154920664,-96.62837754717668,
TX,Dallas / Houston,2021-03-28,0.0,2740.0,0.0,0.0,0.0,2740.0,,29.696802881646033,,,,,-95.29807773711882,,,
TX,Dallas / Houston,2021-03-29,2187.0476190476193,4194.285714285714,629.3333333333334,821.6666666666667,314.6666666666667,8147.0,30.998148966868538,31.827829469204755,29.770430938914142,29.626604465395115,29.581770261158177,-96.03186192399109,-96.3765162787506,-95.38493284703843,-95.38857226881085,-95.3887175155896
TX,Dallas / Houston,2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
TX,Dallas / Houston,2021-03-31,1464.0,2525.3333333333335,1066.0,464.3333333333333,464.3333333333333,5984.0,30.62736506324039,32.57400995456608,29.78754447538811,29.626225,29.581770261158184,-95.71202948691536,-96.72990169240892,-95.37598430004543,-95.388248,-95.3887175155896
TX,Dallas / Houston,2021-04-01,13420.0,279.0,279.0,305.0,0.0,14283.0,29.798778340236876,29.903562731078505,29.835038096366873,29.62683997843455,,-95.51366720822631,-95.41447098281671,-95.28525435202806,-95.3887735244042,
TX,Dallas / Houston,2021-04-02,1923.75,0.0,641.25,0.0,0.0,2565.0,32.755090002646114,,32.604716236664274,,,-96.80155716007647,,-96.7892372687652,,
TX,Dallas / Houston,2021-04-03,1905.0,2192.0,2262.0,436.5,952.5,7748.0,30.593836845330273,30.426342688055694,32.60465764205293,29.90285406390539,29.578572774850066,-95.84505488128572,-95.64518238965937,-96.78868389892153,-95.33106466427998,-95.4002500648946
TX,Dallas / Houston,2021-04-04,3794.3809523809523,2773.3690476190477,2699.3333333333335,797.1666666666666,1361.75,11426.0,30.716444785713414,32.11483644107141,32.09136135934026,29.817950976760688,29.580191265429708,-95.86174607952897,-96.49685116436376,-96.53441886693814,-95.34861539328625,-95.39749276116716
TX,Dallas / Houston,2021-04-05,1856.0,401.0,0.0,0.0,0.0,2257.0,32.161296302440704,29.77154526987888,,,,-96.598809862244,-95.21795045027464,,,
TX,Dallas / Houston,2021-04-06,3703.7,569.8,712.25,313.0,712.25,6011.0,31.650427521460625,32.82921245543902,29.70178451584056,29.626839978434553,29.579982746181862,-96.27698492612335,-96.7084785486381,-95.29394779015652,-95.3887735244042,-95.3987360698811
